duration,distance,max_heart_rate,effort,pace,speed_m_s,cluster
3973,9.92,161.0,17.0,6.675067204301076,2.496853762899572,0
3906,10.08,161.0,19.0,6.458333333333333,2.5806451612903225,0
3981,10.18,168.0,18.0,6.517681728880157,2.557146445616679,0
3849,10.27,165.0,29.0,6.246348588120741,2.6682255131202908,0
3924,10.15,166.0,24.0,6.443349753694582,2.5866462793068297,0
3951,9.8,152.0,16.0,6.71938775510204,2.480384712730954,1
3960,9.79,154.0,15.0,6.741573033707866,2.4722222222222223,1
3987,9.8,154.0,18.0,6.780612244897959,2.457988462503135,1
3997,9.51,169.0,20.0,7.004907115317209,2.3792844633475108,1
4237,10.45,153.0,18.0,6.757575757575758,2.4663677130044843,1
3818,9.92,149.0,15.0,6.414650537634409,2.5982189628077528,0
3996,10.16,173.0,26.0,6.5551181102362195,2.5425425425425425,0
3966,9.64,151.0,14.0,6.856846473029044,2.4306606152294505,1
